"","FN1","LV2","FV3","LV3","LV1","LN3","FV2","LN1","FN3","FN2","HF.1","HF.7","HF.8","HF.10","HF.13","HF.14","HF.15"
"NDUFS6",2496.24,2733.33,1378.4,1533.31,1763.84,1882.47,2546.1,2309.66,2400.61,3783.63,1127.43,2782.21,1617.49,4280.25,3496.43,894.05,2186.12
"NDUFS8",1685.78,1346.47,805.81,924.12,969.98,981.66,1340.53,1200.46,1247.43,2322,1064.07,1644.51,937.11,2505.86,2283.02,866.05,1572.1
"NKG7",52.29,34,33,40,44.37,133.34,43,127.95,51.49,91.91,40.23,58,40,46,51.68,67.58,40
"NLRP3",36,34,33,40,40,36,43,55,37,38,33,58,40,46,46,41,40
"NRF1",102.64,73.19,33,41.33,47.1,232.03,67.48,181.57,322.54,154.46,113.65,140.66,87.97,163.48,137.07,108.14,90.33
"OAZ1",3713.37,3682.3,1758.37,2390.45,2946.11,2368.58,3635.85,4003.1,3329.38,6323.92,2403.7,3400.71,2149.78,4998.6,4648.06,2712.07,3196.97
"PCK1",8686.49,10928.27,10512.24,20322,24850.09,6735.11,17495.37,6891.35,15212.96,21217.16,10658.76,7592.65,11084.6,7636.92,17687.78,14270,14151.91
"PCSK6",3628.16,4179.5,1964.08,3392.22,3115.39,2370.68,4017.56,2558.97,2480.28,4329.98,6179.22,4547.73,2177.6,6693.04,4205.38,7146.59,4539.69
"PMAIP1",36,34,33,40,40,36,43,63.97,37,38,33,58,40,46,56.18,41,40
"PPARGC1A",230.45,704.15,323.63,567.86,877.14,200.53,391.78,239.9,422.61,366.36,712.06,1015.66,1095.98,597.83,1770.69,404.54,1037.24
"PPBP",36,34,33,40,40,50.4,43,66.8,37,38,33,58,40,46,46,41,40
"PRF1",36,34,33,40,40,73.49,43,57.39,37,62.55,33,58,40,46,46,41,40
"PZP",13568.58,26947.15,3439.44,21742.02,19710.11,12189.34,18357.49,23425.9,23117.21,11265.35,2855.28,10381.07,7565.06,29801.88,23215.56,19891.11,44138.46
"RPL13A",5395.28,3798.39,3069.95,2976.12,2534.5,3711.4,3503.91,5803.79,3854,5339.71,3117.77,6033.99,3681.1,10317,7058.03,3056.75,4252.47
"SERF2",83.27,73.19,43.24,40,60.75,61.94,72.52,119.48,102.01,154.46,85.49,142.73,61.04,186.15,99.99,71.45,90.33
"SOCS3",225.61,142.6,33,92.63,158.36,77.69,114.82,99.72,68.98,208.07,218.24,741.58,664.23,128.87,358.41,125.51,924.58
"SQSTM1",6942.6,8126.8,2980.85,3558.95,4342.03,6433.79,3527.07,15080.07,9022.46,7567.25,8421,6558.37,3577.88,22225.82,7387.23,7036.52,3974.39
"TFAM",484.14,420.22,365.56,322.05,268.94,392.66,438.11,479.81,435.24,611.46,481.75,592.64,482.91,670.62,641.54,482.75,462.8
"TKT",489.95,210.74,180.82,229.43,172.7,575.35,236.68,764.87,934.6,626.77,275.57,239.95,149.9,749.37,586.48,341.78,257.79
"TMEM63A",651.66,362.17,218.81,334.16,380.89,153.29,619.4,192.86,307,759.53,556.17,669.18,275.57,957,519.07,551.3,648.53
