"","x"
"327","Hsp90aa1"
"328","Gpx1"
"329","Sirt2"
"330","Arg2"
"331","Ttn"
"332","Txnrd2"
"333","Prkg2"
"334","Spr"
"335","Alox12"
"336","Nos1ap"
"337","Duox2"
"338","Prg3"
"339","Nme5"
"340","Akt1"
"341","Scrt2"
"342","Nostrin"
"343","Dynll1"
"344","Nudt1"
"345","Duox1"
"346","Gchfr"
"347","Cygb"
"348","Gla"
"349","Camk1"
"350","Nosip"
"351","Lypla1"
"352","Msra"
"353","Lpo"
"354","Mt3"
"355","Troap"
"356","Sod1"
"357","Prkar1b"
"358","Nos1"
"359","Calm1"
"360","Jun"
"361","Ppp3ca"
"362","Cav1"
"363","Nos2"
"364","Flt1"
"365","Vegfc"
"366","Nox1"
"367","Dusp1"
"368","Il10"
"369","Nqo1"
"370","Myb"
"371","Egfr"
"372","Prdx2"
"373","Cat"
"374","Mbl2"
"375","Kdr"
"376","Prkca"
"377","Prnp"
"378","Cdkn1a"
"379","Abcf1"
"380","Hprt"
"381","Polr1b"
"382","Rplp0"
"383","Ldha"
"384","Gusb"
"385","ADM"
"386","AQP2"
"387","AQP4"
"388","ARNT"
"389","ATF4"
"390","ATF6"
"391","ATF6B"
"392","ATG12"
"393","ATG5"
"394","ATG7"
"395","ATM"
"396","ATR"
"397","BAD"
"398","BAX"
"399","BBC3"
"400","BCL2"
"401","BCL2A1"
"402","BCL2L1"
"403","BECN1"
"404","BID"
"405","BIRC5"
"406","BNIP3L"
"407","CA9"
"408","CASP1"
"409","CASP8"
"410","CCL2"
"411","CD40LG"
"412","CDKN1A"
"413","CFTR"
"414","CHEK1"
"415","CHEK2"
"416","DDB2"
"417","DDIT3"
"418","DNAJC3"
"419","DUOX1"
"420","DUOX2"
"421","EDN1"
"422","EPO"
"423","FAS"
"424","FASLG"
"425","GADD45A"
"426","GADD45G"
"427","GCLC"
"428","GCLM"
"429","GPX2"
"430","GPX4"
"431","GRB2"
"432","GSR"
"433","HMOX1"
"434","HSPA4"
"435","HSPA4L"
"436","HSPA5"
"437","HUS1"
"438","IFNG"
"439","IL1A"
"440","IL1B"
"441","IL6"
"442","MCL1"
"443","MMP9"
"444","NBN"
"445","NFAT5"
"446","NFKB1"
"447","NOD1"
"448","NOS2"
"449","NQO1"
"450","PARP1"
"451","PRDX1"
"452","PTGS2"
"453","PVR"
"454","RAD17"
"455","RAD51"
"456","RAD9A"
"457","RIPK1"
"458","SERPINE1"
"459","SLC2A1"
"460","SLC5A3"
"461","SOD1"
"462","SRXN1"
"463","TLR4"
"464","TNF"
"465","TNFRSF10A"
"466","TNFRSF10B"
"467","TNFRSF1A"
"468","TP53"
"469","TXN"
"470","TXNL4B"
"471","TXNRD1"
"472","ULK1"
"473","VEGFA"
"474","XPC"
"475","ABCF1"
"476","GUSB"
"477","HPRT1"
"478","LDHA"
"479","POLR1B"
"480","RPLP0"
"481","ABCA1"
"482","ABCB4"
"483","ABCC2"
"484","ABCC3"
"485","ACADM"
"486","ACADVL"
"487","ACOX1"
"488","ADH1C"
"489","ADM2"
"490","AKR1C2"
"491","AKT1"
"492","APOA5"
"493","APOF"
"494","ARRDC3"
"495","ASAH1"
"496","ASB1"
"497","ASNS"
"498","ATF3"
"499","ATM"
"500","ATP8B1"
"501","BCL2"
"502","BCL2L1"
"503","BRCA1"
"504","CASP8"
"505","CASP9"
"506","CD36"
"507","CDKN1A"
"508","CPT1A"
"509","CPT1B"
"510","CPT2"
"511","CTSE"
"512","CYB561D1"
"513","CYLD"
"514","CYP1A2"
"515","CYP2B6"
"516","CYP2C19"
"517","CYP2C9"
"518","CYP2D6"
"519","DNAJB1"
"520","DNAJB9"
"521","ENO2"
"522","ERCC2"
"523","FASLG"
"524","FASN"
"525","FHL2"
"526","GCLM"
"527","GPX1"
"528","GPX2"
"529","GRB2"
"530","GSTA3"
"531","HERPUD1"
"532","HMOX1"
"533","HPN"
"534","HSF1"
"535","HSPA12A"
"536","HSPA1B"
"537","HSPA4"
"538","HSPA5"
"539","ID1"
"540","IFI6"
"541","IL6"
"542","INHBE"
"543","LPL"
"544","LSS"
"545","MAG"
"546","MDM2"
"547","METAP2"
"548","MKI67"
"549","NCOA7"
"550","NOS2"
"551","NQO1"
"552","NR5A2"
"553","PARP2"
"554","PDYN"
"555","PPARA"
"556","PVR"
"557","RAD51"
"558","RDX"
"559","SLC25A25"
"560","SLC2A3"
"561","SLC7A11"
"562","SOD1"
"563","SOD3"
"564","SREBF1"
"565","TP53"
"566","TRIB3"
"567","TRIM10"
"568","TXNL4B"
"569","UHRF1"
"570","WIPI1"
"571","ABCF1"
"572","GUSB"
"573","HPRT1"
"574","LDHA"
"575","POLR1B"
"576","RPLP0"
"577","ACSL3"
"578","ACSL4"
"579","ACSL5"
"580","ADM"
"581","ARNT"
"582","ATF4"
"583","AXIN2"
"584","BAX"
"585","BBC3"
"586","BCL2"
"587","BCL2A1"
"588","BCL2L1"
"589","BIRC3"
"590","BMP2"
"591","BMP4"
"592","BTG2"
"593","CA9"
"594","CCL5"
"595","CCND1"
"596","CCND2"
"597","CDKN1A"
"598","CDKN1B"
"599","CEBPD"
"600","CPT2"
"601","CSF1"
"602","CTNNB1"
"603","DAB2"
"604","EGFR"
"605","EMP1"
"606","EPO"
"607","FAS"
"608","FASLG"
"609","FCER2"
"610","FOSL1"
"611","GADD45A"
"612","GADD45B"
"613","GATA3"
"614","GCLC"
"615","GCLM"
"616","GSK3B"
"617","GSR"
"618","HERPUD1"
"619","HES1"
"620","HES5"
"621","HEY1"
"622","HEY2"
"623","HEYL"
"624","HMOX1"
"625","ICAM1"
"626","ID1"
"627","IFNG"
"628","IFRD1"
"629","IGF1"
"630","IRF1"
"631","JAG1"
"632","JUN"
"633","LFNG"
"634","LRG1"
"635","MAP2K1"
"636","MAPK1"
"637","MCL1"
"638","MMP7"
"639","MTOR"
"640","MYC"
"641","NFKB1"
"642","NOTCH1"
"643","NQO1"
"644","OLR1"
"645","PCNA"
"646","PIK3CA"
"647","PPARD"
"648","PTCH1"
"649","RB1"
"650","SERPINE1"
"651","SLC27A4"
"652","SLC2A1"
"653","SOCS3"
"654","SORBS1"
"655","STAT1"
"656","TNF"
"657","TNFSF10"
"658","TXN"
"659","TXNRD1"
"660","VEGFA"
"661","WISP1"
"662","WNT1"
"663","WNT2B"
"664","WNT3A"
"665","WNT5A"
"666","WNT6"
"667","ABCF1"
"668","GUSB"
"669","HPRT1"
"670","LDHA"
"671","POLR1B"
"672","RPLP0"
"673","AKT1"
"674","ATF1"
"675","ATM"
"676","BCL10"
"677","BCL2"
"678","BCL2A1"
"679","BCL2L1"
"680","BCL3"
"681","BIRC2"
"682","BIRC3"
"683","CARD10"
"684","CARD11"
"685","CARD14"
"686","CASP1"
"687","CASP8"
"688","CCL2"
"689","CCL5"
"690","CD27"
"691","CD40"
"692","CFLAR"
"693","CHUK"
"694","CSF1"
"695","CSF2"
"696","CSF3"
"697","EGFR"
"698","EGR1"
"699","ELK1"
"700","F2R"
"701","FADD"
"702","FASLG"
"703","FOS"
"704","HMOX1"
"705","ICAM1"
"706","IFNA1"
"707","IFNG"
"708","IKBKB"
"709","IKBKE"
"710","IKBKG"
"711","IL10"
"712","IL1A"
"713","IL1B"
"714","IL1R1"
"715","IRAK1"
"716","IRAK2"
"717","IRF1"
"718","JUN"
"719","LAT"
"720","LTA"
"721","LTBR"
"722","MALT1"
"723","MAP3K1"
"724","MYD88"
"725","NFKB1"
"726","NFKB2"
"727","NFKBIA"
"728","NFKBIB"
"729","NFKBIE"
"730","NOD1"
"731","PIDD1"
"732","PSIP1"
"733","RAF1"
"734","REL"
"735","RELA"
"736","RELB"
"737","RHOA"
"738","RIPK1"
"739","STAT1"
"740","SYK"
"741","TBK1"
"742","TICAM1"
"743","TICAM2"
"744","TIRAP"
"745","TLR1"
"746","TLR2"
"747","TLR3"
"748","TLR4"
"749","TLR6"
"750","TLR9"
"751","TNF"
"752","TNFAIP3"
"753","TNFRSF10A"
"754","TNFRSF10B"
"755","TNFRSF1A"
"756","TNFSF10"
"757","TNFSF14"
"758","TRADD"
"759","TRAF2"
"760","TRAF3"
"761","TRAF5"
"762","TRAF6"
"763","ABCF1"
"764","GUSB"
"765","HPRT1"
"766","LDHA"
"767","POLR1B"
"768","RPLP0"
"769","ADM"
"770","AKT1"
"771","ALDH3A2"
"772","BCL2A1"
"773","BCL2L1"
"774","BIRC2"
"775","BIRC3"
"776","CCL1"
"777","CCL11"
"778","CCL2"
"779","CCL22"
"780","CCL5"
"781","CCND1"
"782","CCR5"
"783","CD40"
"784","CD48"
"785","CD69"
"786","CD80"
"787","CD83"
"788","CDKN1A"
"789","COX20"
"790","CSF1"
"791","CSF2"
"792","CSF2RB"
"793","CSF3"
"794","CXCL1"
"795","CXCL10"
"796","CXCL2"
"797","CXCL9"
"798","EGFR"
"799","EGR2"
"800","F3"
"801","F8"
"802","FAS"
"803","FASLG"
"804","GADD45B"
"805","ICAM1"
"806","IFNB1"
"807","IFNG"
"808","IL11"
"809","IL12B"
"810","IL15"
"811","IL1A"
"812","IL1B"
"813","IL1R2"
"814","IL1RN"
"815","IL2"
"816","IL2RA"
"817","IL4"
"818","IL6"
"819","IRF1"
"820","IRF2"
"821","JUN"
"822","LTA"
"823","LTB"
"824","MAP2K6"
"825","MMP9"
"826","MYC"
"827","MYD88"
"828","NCOA3"
"829","NFKB1"
"830","NFKB2"
"831","NFKBIA"
"832","NQO1"
"833","NR4A2"
"834","PDGFB"
"835","PLAU"
"836","PSMB9"
"837","PTGS2"
"838","PTX3"
"839","REL"
"840","RELA"
"841","RELB"
"842","SELE"
"843","SELP"
"844","SNAP25"
"845","STAT1"
"846","STAT3"
"847","STAT5B"
"848","TAP1"
"849","TBC1D9"
"850","TNF"
"851","TNFRSF1B"
"852","TNFSF10"
"853","TNFSF13B"
"854","TP53"
"855","TRAF2"
"856","VCAM1"
"857","WT1"
"858","XIAP"
"859","ABCF1"
"860","GUSB"
"861","HPRT1"
"862","LDHA"
"863","POLR1B"
"864","RPLP0"
"865","ALDH3A2"
"866","ALOX12"
"867","AOX1"
"868","ATOX1"
"869","BNIP3"
"870","CAT"
"871","CCL5"
"872","CCS"
"873","CYBA"
"874","CYBB"
"875","CYCS"
"876","CYGB"
"877","DUOX1"
"878","DUOX2"
"879","DUSP1"
"880","EPHX2"
"881","EPX"
"882","ERO1A"
"883","FOXM1"
"884","GCLC"
"885","GCLM"
"886","GPX1"
"887","GPX2"
"888","GPX4"
"889","GPX5"
"890","GPX6"
"891","GPX7"
"892","GPX8"
"893","GSR"
"894","GSS"
"895","GSTZ1"
"896","GTF2I"
"897","HMOX1"
"898","HYAL1"
"899","HYAL2"
"900","KRT1"
"901","LPO"
"902","MB"
"903","MBL2"
"904","MGST3"
"905","MPV17"
"906","MSRA"
"907","MT3"
"908","NCF1"
"909","NCF2"
"910","NFKB1"
"911","NFKBIA"
"912","NOS2"
"913","NOX4"
"914","NOX5"
"915","NQO1"
"916","NUDT1"
"917","NUDT2"
"918","OXR1"
"919","OXSR1"
"920","PARK7"
"921","PDLIM1"
"922","PLK3"
"923","PNKP"
"924","PPARGC1A"
"925","PRDX1"
"926","PRDX2"
"927","PRDX3"
"928","PRDX4"
"929","PRDX5"
"930","PRDX6"
"931","PREX1"
"932","PRNP"
"933","PTGS1"
"934","PTGS2"
"935","PTPRN"
"936","PXDN"
"937","RELA"
"938","RNF7"
"939","S100A7"
"940","SCARA3"
"941","SFTPD"
"942","SIRT1"
"943","SIRT2"
"944","SOD1"
"945","SOD3"
"946","SRXN1"
"947","STK25"
