,libraryID,liverID,HF,macro,male,micro,alactate.3H,time,group,liver,liverweight,PVp,PVf,HAp,HAf,bicarbadded,HAr,PVr,macro,aph,aco2,ao2,ahco3,abe,alactate,vph,vco2,vo2,vhco3,vbe,vlactate,Na,K,Ca,Cl,Glu,BUN,Cr,AG,AST,ALT,Alb,Alp,Dbil,Tbil,TP,VLDL,Trig,HDL,LDL,Chol,bilevol,bilepH,bilehco3,bilelactate,bilegluc,hct,hb,wbc,plt,AMP,ADP,ATP,NAD,NADH,NADP,NADPH,FAD,atpadp,atpamp,ec,nadhnad
14,FN3,CN1,3,40,0,55,18.2,1.5,0,2,NA,10,710,90,166,15,0.542168675,0.014084507,NA,7.26,44.1,569,19.8,-7,20,7.23,44.9,59,18.8,-9,18.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
15,FN3,CN1,3,40,0,55,18.2,2,0,2,NA,10,760,95,229,5,0.414847162,0.013157895,NA,7.324,44.2,601,23,-3,19.69,7.279,45.5,66,21.3,-5,18.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
16,FN3,CN1,3,40,0,55,18.2,3,0,2,NA,10,830,95,270,10,0.351851852,0.012048193,NA,7.322,47.1,630,24.3,-2,18.2,7.314,43.6,84,22.2,-4,17.32,136,9,0.41,95,617,29,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
17,FN3,CN1,3,40,0,55,18.2,4,0,2,NA,10,920,95,281,5,0.338078292,0.010869565,NA,7.348,48.5,513,26.7,1,16.03,7.296,52.9,82,25.8,-1,15.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,7.316,25.5,16.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
18,FN3,CN1,3,40,0,55,18.2,6,0,2,NA,10,1030,95,276,15,0.344202899,0.009708738,NA,7.297,62.6,653,30.6,4,13.06,7.246,63.6,85,27.7,0,12.34,140,9,0.46,96,700,51,0.9,NA,12080,9080,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,10.3,3.1,50,0.823029865,1.777424911,2.31577917,2.886847607,0.088363697,1.65809953,0.018072599,0.247320461,1.302884389,2.81372435,0.651818376,0.030609062
19,FN3,CN1,3,40,0,55,18.2,9,0,2,NA,10,1070,95,315,20,0.301587302,0.009345794,NA,7.257,75.4,561,33.6,6,11.04,7.188,81.1,89,30.9,3,10.34,142,9,0.54,95,700,72,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,7.328,30.5,13.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
20,FN3,CN1,3,40,0,55,18.2,12,0,2,2.399,10,990,95,307,NA,0.309446254,0.01010101,NA,7.218,85.7,592,34.9,7,10.92,7.188,88,80,33.4,5,10.23,146,9,0.59,96,700,80,1.2,NA,14070,7980,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,21,7.266,34,11.11,NA,25.6,7.9,3.1,128,1.55612572,1.809450508,1.935053428,2.579043082,0,0.954061204,,0.091204076,1.069414952,1.24350713,0.53574365,0
21,LN3,CN2,4,0,0,0,20,0,2,3,2.431,5,NA,30,NA,100,NA,NA,NA,7.404,116.7,800,73,30,19.37,NA,NA,NA,NA,NA,NA,166,8.9,1.32,NA,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2,12.8,2.6,22,28.55243639,3.993681546,1.027368195,13.64770444,15.12475374,14.25738019,0.693533904,0.608087454,0.257248402,0.035981805,0.0900773,1.10822694
22,LN3,CN2,4,0,0,0,20,0.5,2,3,NA,6,830,75,220,20,0.340909091,0.007228916,NA,7.13,66.4,514,22.1,-7,20,7.075,69.7,51,20.4,-10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
23,LN3,CN2,4,0,0,0,20,1,2,3,NA,7,700,90,211,10,0.426540284,0.01,NA,7.309,46.9,540,23.5,-3,20,7.226,52.8,56,21.9,-6,20,NA,NA,NA,NA,NA,NA,NA,NA,4825,3030,NA,60,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
24,LN3,CN2,4,0,0,0,20,1.5,2,3,NA,7,990,90,271,10,0.332103321,0.007070707,NA,7.278,57.1,611,23.9,-3,20,7.216,55,81,22.3,-5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
25,LN3,CN2,4,0,0,0,20,2,2,3,NA,8,730,90,192,5,0.46875,0.010958904,NA,7.321,49.2,613,25.4,-1,20,7.251,52.9,75,23.3,-4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
26,LN3,CN2,4,0,0,0,20,3,2,3,NA,8,850,90,264,5,0.340909091,0.009411765,NA,7.355,50.5,646,28.2,3,20,7.303,52.4,64,25.9,0,20,142,9,0.5,86,646,21,0.7,NA,11660,7260,NA,90,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.92265788,11.60998836,4.992407871,12.45391665,1.123102643,11.16560547,0.334086918,0.451748375,0.430009722,0.128264824,0.194460001,0.090180678
27,LN3,CN2,4,0,0,0,20,4,2,3,NA,7,940,88,300,0,0.293333333,0.007446809,NA,7.423,51.5,584,33.4,9,17.04,7.345,56.3,58,30.7,5,15.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7.553,20.4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
28,LN3,CN2,4,0,0,0,20,6,2,3,NA,8,960,88,310,0,0.283870968,0.008333333,NA,7.473,49,570,35.9,12,10.18,7.39,56.5,63,34.2,9,8.86,140,9,0.52,87,591,48,0.8,NA,NA,12060,NA,260,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,10.2,4.9,114,52.99106534,24.28113139,16.1406939,18.82200756,1.041056173,10.23781856,0.077437274,0.553199106,0.66474225,0.304592742,0.302755427,0.055310581
29,LN3,CN2,4,0,0,0,20,9,2,3,NA,8,1070,90,320,0,0.28125,0.007476636,NA,7.409,55.7,555,35.2,11,7.53,7.333,60.8,73,32.3,6,7.02,141,9,0.37,87,700,68,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.638,23.3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
30,LN3,CN2,4,0,0,0,20,12,2,3,2.163,8,1100,88,330,NA,0.266666667,0.007272727,NA,7.357,58.4,563,32.7,7,6.63,7.299,61.3,76,30.1,4,6.46,141,9,0.36,87,700,78,0.7,NA,17060,8120,NA,260,NA,2,NA,NA,NA,NA,NA,NA,4.5,7.501,32.4,10.7,NA,29.2,9.2,2.4,65,32.50894444,21.09967726,18.22561458,35.27546192,0.208940553,9.700519009,0.020068968,0.501196424,0.863786415,0.560633847,0.40058132,0.005923113
31,NA,NA,5,,,,20,0,2,NA,2.275,5,NA,30,NA,105,NA,NA,NA,7.417,101.8,800,65.6,30,20,NA,NA,NA,NA,NA,NA,150,9,1.43,104,48,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,14,2.9,24,170.6899372,8.163255959,0.632958191,75.82044516,33.4417369,17.37362029,0.923138738,0.663357554,0.077537467,0.003708234,0.026267131,0.441064898
32,NA,NA,5,,,,20,0.5,2,NA,NA,7,190,85,137,0,0.620437956,0.036842105,NA,7.398,50.9,652,31.3,7,20,7.186,68.8,41,26.1,-2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
33,NA,NA,5,,,,20,1,2,NA,NA,9,350,85,226,15,0.376106195,0.025714286,NA,7.223,46,639,18.9,-9,20,7.127,54.6,43,18.1,-11,20,NA,NA,NA,NA,NA,NA,NA,NA,1770,720,5,145,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
34,NA,NA,5,,,,20,1.5,2,NA,NA,10,390,85,131,25,0.648854962,0.025641026,NA,7.275,44.9,652,20.9,-6,20,7.183,53.7,42,20.2,-8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
35,NA,NA,5,,,,20,2,2,NA,NA,10,420,85,121,0,0.702479339,0.023809524,NA,7.439,42.5,626,28.8,5,20,7.324,56.8,34,29.5,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
36,NA,NA,5,,,,20,3,2,NA,NA,10,460,89,130,0,0.684615385,0.02173913,NA,7.415,46.6,617,29.9,5,20,7.336,53.7,38,28.7,3,19.9,132,9,0.53,81,645,44,1,NA,4300,1760,NA,105,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.73457459,4.21855194,0.699722706,17.7970859,7.292705414,2.397124124,0.305766093,0.166872061,0.165867984,0.023532292,0.081061117,0.409769636
37,NA,NA,5,,,,20,4,2,NA,NA,10,460,92,123,0,0.74796748,0.02173913,NA,7.387,46,539,27.6,3,19.94,7.227,66.1,36,27.5,0,17.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,7.338,19.3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
38,NA,NA,5,,,,20,6,2,NA,NA,10,440,92,136,20,0.676470588,0.022727273,NA,7.202,61.7,618,24.2,-4,19.81,7.1,81.8,44,25.4,-4,19.12,124,9,0.49,82,656,66,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,12,7.1,178,44.1181306,9.927048686,3.264197354,41.07223732,1.516011207,5.026089165,0.019885372,0.30871486,0.32881851,0.073987662,0.143566763,0.03691085
